nave,bloque,variedad,finca,fecha_registro,cama,semana,semana_de_siembra,cantidad,quality,origin,upload_type,worker,edad,error
7,6,Pastel Crimea,AGROMONTE,2025-07-29T00:00:00+00:00,4,2530,2453,550,total,Real,WEB,Deniz Sanchez,1,"Las siguientes validaciones no se cumplen: {:base=>[""sowing_detail_id o sowing_lot_id deben estar llenos""], :sowing_detail_id=>[""Este campo no puede estar vacio""]}"
7,6,Hermes Orange,AGROMONTE,2025-07-29T00:00:00+00:00,6,2530,2453,750,total,Real,WEB,Deniz Sanchez,1,"Las siguientes validaciones no se cumplen: {:base=>[""sowing_detail_id o sowing_lot_id deben estar llenos""], :sowing_detail_id=>[""Este campo no puede estar vacio""]}"
7,6,Hermes Orange,AGROMONTE,2025-07-29T00:00:00+00:00,7,2530,2453,940,total,Real,WEB,Deniz Sanchez,1,"Las siguientes validaciones no se cumplen: {:base=>[""sowing_detail_id o sowing_lot_id deben estar llenos""], :sowing_detail_id=>[""Este campo no puede estar vacio""]}"
7,6,Hermes Orange,AGROMONTE,2025-07-29T00:00:00+00:00,8,2530,2453,445,total,Real,WEB,Deniz Sanchez,1,"Las siguientes validaciones no se cumplen: {:base=>[""sowing_detail_id o sowing_lot_id deben estar llenos""], :sowing_detail_id=>[""Este campo no puede estar vacio""]}"
7,6,Hermes Orange,AGROMONTE,2025-07-29T00:00:00+00:00,9,2530,2453,805,total,Real,WEB,Deniz Sanchez,1,"Las siguientes validaciones no se cumplen: {:base=>[""sowing_detail_id o sowing_lot_id deben estar llenos""], :sowing_detail_id=>[""Este campo no puede estar vacio""]}"
7,6,Hermes,AGROMONTE,2025-07-29T00:00:00+00:00,10,2530,2453,735,total,Real,WEB,Deniz Sanchez,1,"Las siguientes validaciones no se cumplen: {:base=>[""sowing_detail_id o sowing_lot_id deben estar llenos""], :sowing_detail_id=>[""Este campo no puede estar vacio""]}"
7,6,Hermes,AGROMONTE,2025-07-29T00:00:00+00:00,11,2530,2453,595,total,Real,WEB,Deniz Sanchez,1,"Las siguientes validaciones no se cumplen: {:base=>[""sowing_detail_id o sowing_lot_id deben estar llenos""], :sowing_detail_id=>[""Este campo no puede estar vacio""]}"
7,6,Hermes,AGROMONTE,2025-07-29T00:00:00+00:00,12,2530,2453,525,total,Real,WEB,Deniz Sanchez,1,"Las siguientes validaciones no se cumplen: {:base=>[""sowing_detail_id o sowing_lot_id deben estar llenos""], :sowing_detail_id=>[""Este campo no puede estar vacio""]}"
8,6,Hermes,AGROMONTE,2025-07-29T00:00:00+00:00,1,2530,2453,850,total,Real,WEB,Deniz Sanchez,1,"Las siguientes validaciones no se cumplen: {:base=>[""sowing_detail_id o sowing_lot_id deben estar llenos""], :sowing_detail_id=>[""Este campo no puede estar vacio""]}"
8,6,Farida,AGROMONTE,2025-07-29T00:00:00+00:00,2,2530,2453,225,total,Real,WEB,Deniz Sanchez,1,"Las siguientes validaciones no se cumplen: {:base=>[""sowing_detail_id o sowing_lot_id deben estar llenos""], :sowing_detail_id=>[""Este campo no puede estar vacio""]}"
8,6,Doncel,AGROMONTE,2025-07-29T00:00:00+00:00,3,2530,2453,400,total,Real,WEB,Deniz Sanchez,1,"Las siguientes validaciones no se cumplen: {:base=>[""sowing_detail_id o sowing_lot_id deben estar llenos""], :sowing_detail_id=>[""Este campo no puede estar vacio""]}"
8,6,Doncel,AGROMONTE,2025-07-29T00:00:00+00:00,4,2530,2453,435,total,Real,WEB,Deniz Sanchez,1,"Las siguientes validaciones no se cumplen: {:base=>[""sowing_detail_id o sowing_lot_id deben estar llenos""], :sowing_detail_id=>[""Este campo no puede estar vacio""]}"
8,6,Doncel,AGROMONTE,2025-07-29T00:00:00+00:00,5,2530,2453,350,total,Real,WEB,Deniz Sanchez,1,"Las siguientes validaciones no se cumplen: {:base=>[""sowing_detail_id o sowing_lot_id deben estar llenos""], :sowing_detail_id=>[""Este campo no puede estar vacio""]}"
8,6,Royal Damascus,AGROMONTE,2025-07-29T00:00:00+00:00,6,2530,2453,430,total,Real,WEB,Deniz Sanchez,1,"Las siguientes validaciones no se cumplen: {:base=>[""sowing_detail_id o sowing_lot_id deben estar llenos""], :sowing_detail_id=>[""Este campo no puede estar vacio""]}"
8,6,Royal Damascus,AGROMONTE,2025-07-29T00:00:00+00:00,7,2530,2453,470,total,Real,WEB,Deniz Sanchez,1,"Las siguientes validaciones no se cumplen: {:base=>[""sowing_detail_id o sowing_lot_id deben estar llenos""], :sowing_detail_id=>[""Este campo no puede estar vacio""]}"
8,6,Komachi,AGROMONTE,2025-07-29T00:00:00+00:00,8,2530,2453,235,total,Real,WEB,Deniz Sanchez,1,"Las siguientes validaciones no se cumplen: {:base=>[""sowing_detail_id o sowing_lot_id deben estar llenos""], :sowing_detail_id=>[""Este campo no puede estar vacio""]}"
8,6,Royal Damascus,AGROMONTE,2025-07-29T00:00:00+00:00,9,2530,2453,520,total,Real,WEB,Deniz Sanchez,1,"Las siguientes validaciones no se cumplen: {:base=>[""sowing_detail_id o sowing_lot_id deben estar llenos""], :sowing_detail_id=>[""Este campo no puede estar vacio""]}"
8,6,Golem,AGROMONTE,2025-07-29T00:00:00+00:00,10,2530,2453,550,total,Real,WEB,Deniz Sanchez,1,"Las siguientes validaciones no se cumplen: {:base=>[""sowing_detail_id o sowing_lot_id deben estar llenos""], :sowing_detail_id=>[""Este campo no puede estar vacio""]}"
8,6,Gioia,AGROMONTE,2025-07-29T00:00:00+00:00,11,2530,2453,420,total,Real,WEB,Deniz Sanchez,1,"Las siguientes validaciones no se cumplen: {:base=>[""sowing_detail_id o sowing_lot_id deben estar llenos""], :sowing_detail_id=>[""Este campo no puede estar vacio""]}"
8,6,Komachi,AGROMONTE,2025-07-29T00:00:00+00:00,12,2530,2453,240,total,Real,WEB,Deniz Sanchez,1,"Las siguientes validaciones no se cumplen: {:base=>[""sowing_detail_id o sowing_lot_id deben estar llenos""], :sowing_detail_id=>[""Este campo no puede estar vacio""]}"
9,6,Komachi,AGROMONTE,2025-07-29T00:00:00+00:00,1,2530,2453,220,total,Real,WEB,Deniz Sanchez,1,"Las siguientes validaciones no se cumplen: {:base=>[""sowing_detail_id o sowing_lot_id deben estar llenos""], :sowing_detail_id=>[""Este campo no puede estar vacio""]}"
9,6,Golem,AGROMONTE,2025-07-29T00:00:00+00:00,2,2530,2453,415,total,Real,WEB,Deniz Sanchez,1,"Las siguientes validaciones no se cumplen: {:base=>[""sowing_detail_id o sowing_lot_id deben estar llenos""], :sowing_detail_id=>[""Este campo no puede estar vacio""]}"
9,6,Kaori,AGROMONTE,2025-07-29T00:00:00+00:00,3,2530,2453,520,total,Real,WEB,Deniz Sanchez,1,"Las siguientes validaciones no se cumplen: {:base=>[""sowing_detail_id o sowing_lot_id deben estar llenos""], :sowing_detail_id=>[""Este campo no puede estar vacio""]}"
9,6,Hermes,AGROMONTE,2025-07-29T00:00:00+00:00,4,2530,2453,725,total,Real,WEB,Deniz Sanchez,1,"Las siguientes validaciones no se cumplen: {:base=>[""sowing_detail_id o sowing_lot_id deben estar llenos""], :sowing_detail_id=>[""Este campo no puede estar vacio""]}"
9,6,Hermes,AGROMONTE,2025-07-29T00:00:00+00:00,5,2530,2453,470,total,Real,WEB,Deniz Sanchez,1,"Las siguientes validaciones no se cumplen: {:base=>[""sowing_detail_id o sowing_lot_id deben estar llenos""], :sowing_detail_id=>[""Este campo no puede estar vacio""]}"
9,6,Doncel,AGROMONTE,2025-07-29T00:00:00+00:00,6,2530,2453,460,total,Real,WEB,Deniz Sanchez,1,"Las siguientes validaciones no se cumplen: {:base=>[""sowing_detail_id o sowing_lot_id deben estar llenos""], :sowing_detail_id=>[""Este campo no puede estar vacio""]}"
9,6,Golem,AGROMONTE,2025-07-29T00:00:00+00:00,7,2530,2453,445,total,Real,WEB,Deniz Sanchez,1,"Las siguientes validaciones no se cumplen: {:base=>[""sowing_detail_id o sowing_lot_id deben estar llenos""], :sowing_detail_id=>[""Este campo no puede estar vacio""]}"
9,6,Golem,AGROMONTE,2025-07-29T00:00:00+00:00,8,2530,2453,580,total,Real,WEB,Deniz Sanchez,1,"Las siguientes validaciones no se cumplen: {:base=>[""sowing_detail_id o sowing_lot_id deben estar llenos""], :sowing_detail_id=>[""Este campo no puede estar vacio""]}"
9,6,Hermes,AGROMONTE,2025-07-29T00:00:00+00:00,9,2530,2453,705,total,Real,WEB,Deniz Sanchez,1,"Las siguientes validaciones no se cumplen: {:base=>[""sowing_detail_id o sowing_lot_id deben estar llenos""], :sowing_detail_id=>[""Este campo no puede estar vacio""]}"
9,6,Polar Route,AGROMONTE,2025-07-29T00:00:00+00:00,10,2530,2453,75,total,Real,WEB,Deniz Sanchez,1,"Las siguientes validaciones no se cumplen: {:base=>[""sowing_detail_id o sowing_lot_id deben estar llenos""], :sowing_detail_id=>[""Este campo no puede estar vacio""]}"
9,6,Polar Route,AGROMONTE,2025-07-29T00:00:00+00:00,11,2530,2453,905,total,Real,WEB,Deniz Sanchez,1,"Las siguientes validaciones no se cumplen: {:base=>[""sowing_detail_id o sowing_lot_id deben estar llenos""], :sowing_detail_id=>[""Este campo no puede estar vacio""]}"
9,6,Polar Route,AGROMONTE,2025-07-29T00:00:00+00:00,12,2530,2453,325,total,Real,WEB,Deniz Sanchez,1,"Las siguientes validaciones no se cumplen: {:base=>[""sowing_detail_id o sowing_lot_id deben estar llenos""], :sowing_detail_id=>[""Este campo no puede estar vacio""]}"
10,6,Doncel,AGROMONTE,2025-07-29T00:00:00+00:00,1,2530,2453,275,total,Real,WEB,Deniz Sanchez,1,"Las siguientes validaciones no se cumplen: {:base=>[""sowing_detail_id o sowing_lot_id deben estar llenos""], :sowing_detail_id=>[""Este campo no puede estar vacio""]}"
10,6,Doncel,AGROMONTE,2025-07-29T00:00:00+00:00,2,2530,2453,350,total,Real,WEB,Deniz Sanchez,1,"Las siguientes validaciones no se cumplen: {:base=>[""sowing_detail_id o sowing_lot_id deben estar llenos""], :sowing_detail_id=>[""Este campo no puede estar vacio""]}"
1,7,Cherry Tessino,AGROMONTE,2025-07-29T00:00:00+00:00,1,2530,2453,200,total,Real,WEB,Deniz Sanchez,1,"Las siguientes validaciones no se cumplen: {:base=>[""sowing_detail_id o sowing_lot_id deben estar llenos""], :sowing_detail_id=>[""Este campo no puede estar vacio""]}"
1,7,Cherry Tessino,AGROMONTE,2025-07-29T00:00:00+00:00,2,2530,2453,290,total,Real,WEB,Deniz Sanchez,1,"Las siguientes validaciones no se cumplen: {:base=>[""sowing_detail_id o sowing_lot_id deben estar llenos""], :sowing_detail_id=>[""Este campo no puede estar vacio""]}"
1,7,Minuetto,AGROMONTE,2025-07-29T00:00:00+00:00,3,2530,2453,225,total,Real,WEB,Deniz Sanchez,1,"Las siguientes validaciones no se cumplen: {:base=>[""sowing_detail_id o sowing_lot_id deben estar llenos""], :sowing_detail_id=>[""Este campo no puede estar vacio""]}"
1,7,Novia,AGROMONTE,2025-07-29T00:00:00+00:00,7,2530,2453,425,total,Real,WEB,Deniz Sanchez,1,"Las siguientes validaciones no se cumplen: {:base=>[""sowing_detail_id o sowing_lot_id deben estar llenos""], :sowing_detail_id=>[""Este campo no puede estar vacio""]}"
1,7,Novia,AGROMONTE,2025-07-29T00:00:00+00:00,8,2530,2453,555,total,Real,WEB,Deniz Sanchez,1,"Las siguientes validaciones no se cumplen: {:base=>[""sowing_detail_id o sowing_lot_id deben estar llenos""], :sowing_detail_id=>[""Este campo no puede estar vacio""]}"
1,7,Cherry Tessino,AGROMONTE,2025-07-29T00:00:00+00:00,9,2530,2453,300,total,Real,WEB,Deniz Sanchez,1,"Las siguientes validaciones no se cumplen: {:base=>[""sowing_detail_id o sowing_lot_id deben estar llenos""], :sowing_detail_id=>[""Este campo no puede estar vacio""]}"
3,17.1,Kaori,AGROMONTE,2025-07-29T00:00:00+00:00,1,2530,2426,230,total,Real,WEB,Deniz Sanchez,56,"Las siguientes validaciones no se cumplen: {:base=>[""sowing_detail_id o sowing_lot_id deben estar llenos""], :sowing_detail_id=>[""Este campo no puede estar vacio""]}"
10,19.1,Doncel,AGROMONTE,2025-07-29T00:00:00+00:00,3,2530,2426,295,total,Real,WEB,Deniz Sanchez,56,"Las siguientes validaciones no se cumplen: {:base=>[""sowing_detail_id o sowing_lot_id deben estar llenos""], :sowing_detail_id=>[""Este campo no puede estar vacio""]}"
1,6,Royal Damascus,AGROMONTE,2025-07-29T00:00:00+00:00,5,2530,2453,435,total,Real,WEB,Deniz Sanchez,1,"Las siguientes validaciones no se cumplen: {:base=>[""sowing_detail_id o sowing_lot_id deben estar llenos""], :sowing_detail_id=>[""Este campo no puede estar vacio""]}"
1,6,Royal Damascus,AGROMONTE,2025-07-29T00:00:00+00:00,6,2530,2453,345,total,Real,WEB,Deniz Sanchez,1,"Las siguientes validaciones no se cumplen: {:base=>[""sowing_detail_id o sowing_lot_id deben estar llenos""], :sowing_detail_id=>[""Este campo no puede estar vacio""]}"
7,6,Handel,AGROMONTE,2025-07-29T00:00:00+00:00,5,2530,2453,680,total,Real,WEB,Deniz Sanchez,1,"Las siguientes validaciones no se cumplen: {:base=>[""sowing_detail_id o sowing_lot_id deben estar llenos""], :sowing_detail_id=>[""Este campo no puede estar vacio""]}"
30,14.2,Komachi,AGROMONTE,2025-07-29T00:00:00+00:00,4,2530,2506,675,total,Real,WEB,Deniz Sanchez,24,"Las siguientes validaciones no se cumplen: {:base=>[""sowing_detail_id o sowing_lot_id deben estar llenos""], :sowing_detail_id=>[""Este campo no puede estar vacio""]}"
